[29260:24324:0521/204605.598:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[29260:21616:0521/204605.972:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[29260:24324:0521/204606.144:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[29260:24324:0521/204621.232:ERROR:device_event_log_impl.cc(196)] [20:46:20.578] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[6736:21596:0521/205735.811:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://optimizationguide-pa.googleapis.com/v1:GetModels?key=dummytoken
[6736:21596:0521/205735.823:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[6736:21596:0521/205735.824:VERBOSE1:tls_handshaker.cc(126)] TlsClient: SSL_do_handshake returned when entering early data. After retry, rv=-1, SSL_in_early_data=1
[6736:21596:0521/205735.831:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[6736:21596:0521/205735.832:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[6736:21596:0521/205735.832:VERBOSE1:tls_client_handshaker.cc(528)] Client: handshake finished
[29260:31668:0521/205738.436:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=46})
[29260:31668:0521/205739.297:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=47})
[29260:31668:0521/205741.324:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=48})
[29260:31668:0521/205742.301:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=45})
[29260:31668:0521/205744.403:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=47})
[29260:31668:0521/205744.403:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=43})
[29260:31668:0521/205745.308:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=45})
[29260:31668:0521/205746.279:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=46})
[29260:31668:0521/205747.312:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=50})
[29260:31668:0521/205748.282:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=52})
[29260:31668:0521/205749.302:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=50})
[29260:31668:0521/205751.282:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=53})
[29260:31668:0521/205752.281:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=56})
[29260:31668:0521/205753.286:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=54})
[29260:31668:0521/205754.333:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=57})
[29260:31668:0521/205755.362:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=55})
[29260:31668:0521/205757.234:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=53})
[29260:31668:0521/205757.359:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=52})
[29260:31668:0521/205759.310:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=54})
[29260:31668:0521/205800.335:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=59})
[29260:31668:0521/205802.302:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=58})
[29260:31668:0521/205803.285:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=60})
[29260:31668:0521/205804.307:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=58})
[29260:31668:0521/205805.410:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=59})
[29260:31668:0521/205807.312:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=57})
[29260:31668:0521/205809.305:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=56})
[29260:31668:0521/205810.291:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=55})
[29260:31668:0521/205811.304:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=53})
[29260:31668:0521/205812.306:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=52})
[29260:31668:0521/205813.293:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=51})
[29260:31668:0521/205814.322:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=54})
[29260:31668:0521/205816.301:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=53})
[29260:31668:0521/205817.331:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=57})
[29260:31668:0521/205818.308:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005014000BED40}, {new_limit=58})
