[5884:12976:0520/120020.582:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[5884:14736:0520/120021.039:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[5884:12976:0520/120021.276:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[5884:12976:0520/120039.512:ERROR:device_event_log_impl.cc(196)] [12:00:38.851] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[5884:39984:0520/143429.634:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=51})
[5884:39984:0520/143430.629:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=50})
[5884:39984:0520/143431.631:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=51})
[5884:39984:0520/143432.622:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=53})
[5884:39984:0520/143433.629:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=52})
[5884:39984:0520/143434.636:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=53})
[5884:39984:0520/143435.619:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=52})
[5884:39984:0520/143438.629:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=51})
[5884:39984:0520/143439.636:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=52})
[5884:39984:0520/143440.632:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=54})
[5884:39984:0520/143442.628:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=52})
[5884:39984:0520/143443.628:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=54})
[5884:39984:0520/143444.620:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=55})
[5884:39984:0520/143445.630:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=54})
[5884:39984:0520/143447.641:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=55})
[5884:39984:0520/143448.638:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=56})
[5884:39984:0520/143450.633:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=55})
[5884:39984:0520/143451.627:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=54})
[5884:39984:0520/143452.644:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=53})
[5884:39984:0520/143453.644:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=52})
[5884:39984:0520/143455.651:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=53})
[5884:39984:0520/143456.643:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=54})
[5884:39984:0520/143457.629:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=53})
[38488:43224:0520/143458.436:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://optimizationguide-pa.googleapis.com/v1:GetModels?key=dummytoken
[38488:43224:0520/143458.456:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[38488:43224:0520/143458.457:VERBOSE1:tls_handshaker.cc(126)] TlsClient: SSL_do_handshake returned when entering early data. After retry, rv=-1, SSL_in_early_data=1
[38488:43224:0520/143458.464:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[38488:43224:0520/143458.465:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[38488:43224:0520/143458.465:VERBOSE1:tls_client_handshaker.cc(528)] Client: handshake finished
[5884:39984:0520/143458.648:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=51})
[5884:39984:0520/143500.648:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=52})
[5884:39984:0520/143501.631:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=53})
[5884:39984:0520/143502.643:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=55})
[5884:39984:0520/143503.635:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=54})
[5884:39984:0520/143505.644:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=52})
[5884:39984:0520/143506.643:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=51})
[5884:39984:0520/143507.647:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=52})
[5884:39984:0520/143508.640:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=53})
[5884:39984:0520/143512.651:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=52})
[5884:39984:0520/143513.640:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=54})
[5884:39984:0520/143516.658:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=55})
[5884:39984:0520/143517.652:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=53})
[5884:39984:0520/143518.643:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=54})
[5884:39984:0520/143519.652:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=55})
[5884:39984:0520/143521.669:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=54})
[5884:39984:0520/143522.665:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=52})
[5884:39984:0520/143523.659:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=50})
[5884:39984:0520/143524.650:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=51})
[5884:39984:0520/143525.667:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=50})
[5884:39984:0520/143526.660:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=51})
[5884:39984:0520/143527.663:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=52})
[5884:39984:0520/143530.657:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00005C9C000BED40}, {new_limit=53})
